Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","537512.2","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","863599.57","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2011","2011","tonnes","947913.61","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2012","2012","tonnes","1021000.09","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2013","2013","tonnes","1098287.05","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2014","2014","tonnes","1210757.05","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2015","2015","tonnes","1098521.25","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2016","2016","tonnes","1377809.34","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","1280705.88","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","1213516.63","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","1301297.13","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","1990","1990","tonnes","40067","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","1991","1991","tonnes","15777","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","1992","1992","tonnes","8400","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","1993","1993","tonnes","12200","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","1994","1994","tonnes","12700","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","1995","1995","tonnes","3300","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","1996","1996","tonnes","600","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","1997","1997","tonnes","3100","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","1998","1998","tonnes","3000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","1999","1999","tonnes","7978","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2000","2000","tonnes","63267","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2001","2001","tonnes","47050","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","84102.84","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","101526.79","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","82102.2","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","124387.76","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","110463.04","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","134796.87","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","173772.86","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","223091.84","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","157808.99","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2011","2011","tonnes","149582.1","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2012","2012","tonnes","118878.5","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2013","2013","tonnes","73565.47","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2014","2014","tonnes","82320.46","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2015","2015","tonnes","102064.05","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2016","2016","tonnes","137836.12","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","96807.44","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","94702.43","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","84859.44","Fk","Calculated data on the basis of official figures"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1990","1990","tonnes","439400","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1991","1991","tonnes","462300","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1992","1992","tonnes","488200","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1993","1993","tonnes","565400","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1994","1994","tonnes","583200","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1995","1995","tonnes","671300","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1996","1996","tonnes","824600","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1997","1997","tonnes","839400","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1998","1998","tonnes","979000","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1999","1999","tonnes","1082000","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2000","2000","tonnes","951000","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2001","2001","tonnes","1034000","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","972266","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","932911","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","1056527","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","952174","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","858103","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","848006","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","835018","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","849785","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","981787","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2011","2011","tonnes","1098921","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2012","2012","tonnes","1124607","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2013","2013","tonnes","1222075","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2014","2014","tonnes","1404588","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2015","2015","tonnes","1302762","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2016","2016","tonnes","1474114","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","1493809","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","1411216","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","1337593","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3103","Nutrient phosphate P2O5 (total)","1990","1990","tonnes","269600","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3103","Nutrient phosphate P2O5 (total)","1991","1991","tonnes","274200","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3103","Nutrient phosphate P2O5 (total)","1992","1992","tonnes","319000","X","International reliable sources"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3103","Nutrient phosphate P2O5 (total)","1993","1993","tonnes","312600","X","International reliable sources"
